"Time (s)","Illuminance (lx)"
3.938126018E2,8.700000000E1
3.946126374E2,8.800000000E1
3.950126526E2,8.900000000E1
3.952126551E2,9.100000000E1
3.954126473E2,9.200000000E1
3.956126513E2,9.400000000E1
4.016126016E2,9.500000000E1
4.018126100E2,9.400000000E1
4.044126100E2,9.500000000E1
4.050126102E2,9.400000000E1
4.076126072E2,9.500000000E1
4.078126072E2,9.600000000E1
4.092126007E2,9.500000000E1
4.100125906E2,9.600000000E1
4.106126072E2,9.500000000E1
4.114125989E2,9.600000000E1
4.116126002E2,9.500000000E1
4.128125991E2,9.600000000E1
4.136126009E2,9.500000000E1
4.140125993E2,9.400000000E1
4.146125996E2,9.500000000E1
4.158125994E2,9.400000000E1
4.200126499E2,9.300000000E1
4.202126448E2,9.200000000E1
4.206126440E2,9.000000000E1
4.208126445E2,8.800000000E1
4.210126505E2,8.700000000E1
4.212126443E2,8.600000000E1
4.214126453E2,8.500000000E1
4.218126437E2,8.400000000E1
4.230125991E2,8.500000000E1
4.234125985E2,8.400000000E1
4.236125996E2,8.500000000E1
4.238126072E2,8.400000000E1
4.240125995E2,8.500000000E1
4.244125998E2,8.400000000E1
4.260126186E2,8.500000000E1
4.262125998E2,8.400000000E1
4.282125996E2,8.500000000E1
4.306125991E2,8.600000000E1
4.310126074E2,8.700000000E1
4.312125998E2,8.800000000E1
4.314125985E2,8.900000000E1
4.316125996E2,9.100000000E1
4.318125848E2,9.200000000E1
4.320126147E2,9.300000000E1
4.322125993E2,9.400000000E1
4.330125991E2,9.300000000E1
4.332125991E2,9.400000000E1
4.360125996E2,9.500000000E1
4.364125996E2,9.400000000E1
4.394126012E2,9.300000000E1
4.396125993E2,9.200000000E1
4.400125991E2,9.100000000E1
4.402125996E2,9.000000000E1
4.404125993E2,8.900000000E1
4.406125991E2,8.800000000E1
4.410125996E2,8.700000000E1
4.420126479E2,8.800000000E1
4.422126416E2,8.900000000E1
4.424126398E2,8.800000000E1
4.428126451E2,8.700000000E1
4.430126434E2,8.600000000E1
4.434126451E2,8.500000000E1
4.436126527E2,8.400000000E1
4.460125988E2,8.300000000E1
4.484125988E2,8.200000000E1
4.530125998E2,8.300000000E1
4.532125991E2,8.200000000E1
4.534125996E2,8.300000000E1
4.536125921E2,8.200000000E1
4.544126009E2,8.300000000E1
